Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
0-20s,4778,4744,31,0.65,3,0.06,1.0
20-40s,4892,4845,41,0.84,6,0.12,1.0
40-60s,4756,4718,36,0.76,2,0.04,1.0
60-80s,15750,161,2180,13.84,13409,85.14,100.0
80-100s,13775,1735,26,0.19,12014,87.22,1.0
100-120s,5133,4786,48,0.94,299,5.83,1.0
120-140s,4998,4906,45,0.9,47,0.94,1.0
=======
<<<<<<< HEAD
0-20s,11369,11237,124,1.09,8,0.07,1.0
20-40s,11651,11546,105,0.9,0,0.0,1.0
40-60s,11665,11546,119,1.02,0,0.0,1.0
60-80s,15602,302,3272,20.97,12028,77.09,100.0
80-100s,14681,2144,27,0.18,12510,85.21,1.0
100-120s,12990,11163,85,0.65,1742,13.41,1.0
120-140s,11736,11487,130,1.11,119,1.01,1.0
=======
0-20s,6716,6651,57,0.85,8,0.12,1.0
20-40s,7061,6997,64,0.91,0,0.0,1.0
40-60s,6812,6735,75,1.1,2,0.03,1.0
60-80s,16228,227,2660,16.39,13341,82.21,100.0
80-100s,15471,2302,29,0.19,13140,84.93,1.0
100-120s,7235,6839,73,1.01,323,4.46,1.0
120-140s,6919,6772,68,0.98,79,1.14,1.0
>>>>>>> bf18038 (re-run experiments)
>>>>>>> e95965d (re-run experiments)
