Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
0-30s,16537,16343,166,1.0,28,0.17,1.0
30-60s,17186,16884,202,1.18,100,0.58,1.2
60-90s,17211,16874,193,1.12,144,0.84,1.2
90-120s,17187,16812,223,1.3,152,0.88,1.2
120-150s,17288,16887,203,1.17,198,1.15,1.2
150-180s,17257,16892,177,1.03,188,1.09,1.0
=======
0-30s,10382,10186,107,1.03,89,0.86,1.0
30-60s,10553,10358,112,1.06,83,0.79,1.2
60-90s,10199,9984,113,1.11,102,1.0,1.2
90-120s,10341,10113,116,1.12,112,1.08,1.2
120-150s,10233,9990,123,1.2,120,1.17,1.2
150-180s,10083,9862,110,1.09,111,1.1,1.0
>>>>>>> ee307d1 (add elastic defensiveness)
