Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
<<<<<<< HEAD
0-30s,5890,5841,49,0.83,0,0.0,1.0
30-60s,5889,5818,71,1.21,0,0.0,1.2
60-90s,5930,5880,50,0.84,0,0.0,1.2
90-120s,5821,5754,67,1.15,0,0.0,1.2
120-150s,5946,5876,70,1.18,0,0.0,1.2
150-180s,5742,5692,50,0.87,0,0.0,1.0
=======
<<<<<<< HEAD
0-30s,10468,10376,92,0.88,0,0.0,1.0
30-60s,10817,10685,132,1.22,0,0.0,1.2
60-90s,10934,10790,144,1.32,0,0.0,1.2
90-120s,10984,10855,129,1.17,0,0.0,1.2
120-150s,10818,10706,112,1.04,0,0.0,1.2
150-180s,10724,10641,83,0.77,0,0.0,1.0
=======
0-30s,13094,12954,140,1.07,0,0.0,1.0
30-60s,13346,13191,155,1.16,0,0.0,1.2
60-90s,13360,13198,162,1.21,0,0.0,1.2
90-120s,13387,13204,183,1.37,0,0.0,1.2
120-150s,13364,13169,195,1.46,0,0.0,1.2
150-180s,13374,13258,116,0.87,0,0.0,1.0
>>>>>>> bf18038 (re-run experiments)
>>>>>>> e95965d (re-run experiments)
=======
0-30s,16939,16752,187,1.1,0,0.0,1.0
30-60s,17529,17290,239,1.36,0,0.0,1.2
60-90s,17537,17353,184,1.05,0,0.0,1.2
90-120s,17558,17333,225,1.28,0,0.0,1.2
120-150s,17541,17348,193,1.1,0,0.0,1.2
150-180s,17563,17385,178,1.01,0,0.0,1.0
>>>>>>> 0278a0b (add experiments)
